idimovel,localizacao,proprietario,preco_compra,preco_aluguel
3646,"Morro Barros, 77
Casa Branca
19818581 Macedo / ES",Maria Julia Abreu,311553,2332
26926,"Avenida de Carvalho, 8
Beija Flor
82040-961 Mendonça da Mata / RN",Mariane Lopes,242891,1190
97609,"Via Ana Vitória Caldeira, 80
Vila Jardim Montanhes
68879-882 Correia / RN",Alexandre Câmara,411263,673
37281,"Quadra Joana Lima, 2
Etelvina Carneiro
77671933 Nunes de Aragão / TO",Sofia Jesus,789596,4372
3374,"Área Rezende
Vila Nova Dos Milionarios
94120-791 Albuquerque / RO",Vinicius Casa Grande,831649,2821
65126,"Sítio Alícia Duarte, 86
Santa Tereza
26840554 Costa / PI",Luna Cavalcanti,201097,3343
25921,"Via de Sampaio, 50
Vitoria
93740679 Caldeira do Oeste / PE",Sr. Pedro da Paz,312661,1587
37559,"Largo Gomes, 230
Cidade Jardim Taquaril
45958059 Marques Paulista / AC",Luiza Castro,664614,4027
34230,"Núcleo de Oliveira, 225
Capitão Eduardo
50013445 Carvalho / DF",Dr. Arthur Machado,773163,3144
96901,"Quadra de Araújo, 7
Minas Brasil
35436-848 Garcia do Oeste / RJ",Léo Araújo,166316,1235
21385,"Rua Barros, 6
Vila Cemig
95920266 Novaes / RO",Gabriela Vasconcelos,601242,3561
16223,"Conjunto de Borges, 135
Zilah Sposito
06268-660 Ferreira / PR",Paulo Ramos,480824,2612
44809,"Morro de Oliveira, 95
Padre Eustáquio
93839177 Monteiro da Mata / AP",André Gonçalves,115180,2610
50460,"Passarela de Aragão, 2
Aparecida 7ª Seção
64872864 Pires / RN",Alexandre Melo,206032,3956
96439,"Avenida de Monteiro, 922
Vila Dos Anjos
05227-548 Oliveira / PE",Sofia Carvalho,644378,2819
22396,"Viela de da Cunha, 74
Serra Do Curral
92009668 Barros da Mata / SP",Camila Farias,774854,4358
95993,"Trevo Campos, 63
Baleia
66429-044 Barros das Flores / ES",Benjamim Pereira,385890,3240
12057,"Alameda de Novais, 18
Guarani
36328-640 Cassiano do Oeste / RO",Gabrielly Barbosa,993856,1452
40913,"Avenida de Teixeira, 90
Monte São José
33730-537 da Mata / RJ",Dr. Luan Castro,870861,2982
71239,"Praia Jesus, 65
Vila Cloris
43110-938 Andrade da Serra / RN",Emanuella da Luz,507264,1550
72891,"Condomínio de Ferreira, 63
Itatiaia
43253-390 da Mota / SE",Caroline Ribeiro,956532,3021
52396,"Pátio de Nunes
Vila Da Amizade
08952926 da Luz de da Rocha / TO",Thiago Gomes,740910,4482
73415,"Residencial Sá, 358
Bandeirantes
24136-052 Dias do Norte / PI",Maria Liz Guerra,479225,1028
69288,"Lago Maria Fernanda Viana, 297
Jardim Guanabara
28768-759 da Mata do Norte / PA",Vinicius Cirino,866175,1068
80271,"Vereda Lorena Vargas
Vila Da Paz
31090366 da Mota da Mata / PR",Sra. Maria Cecília Nascimento,777749,740
22727,"Fazenda da Conceição, 82
Aarão Reis
39024-340 Moreira de Rocha / RN",Sra. Luiza Gonçalves,643993,3688
442,"Chácara Emanuel Leão, 51
Horto Florestal
54582-119 Cunha / BA",Ravy das Neves,638766,1727
17419,"Sítio de Freitas, 83
São Salvador
09073-802 Pires / CE",Mathias Mendonça,362721,3431
20887,"Pátio Benjamim Guerra, 99
Coração De Jesus
74700845 Cunha das Flores / PE",Josué Rodrigues,480315,4649
55108,"Residencial da Paz, 597
São Jorge 2ª Seção
33604659 Alves / GO",Srta. Bella Cardoso,420622,4009
70474,"Rodovia Pietra Fonseca
Marilandia
13449059 Freitas de Viana / RO",Rodrigo Rocha,641787,2748
68630,"Feira de Cirino, 75
Vila Petropolis
11813357 Lima de Goiás / RR",Srta. Anna Liz Moura,367680,4170
20075,"Chácara Peixoto, 41
Braúnas
17337638 Leão Paulista / AL",Ryan Macedo,816123,1074
11919,"Área Abreu
Conjunto São Francisco De Assis
06755-482 Cavalcanti / TO",Dr. Lucas Vieira,403349,796
94237,"Campo de Araújo, 66
Cardoso
62596113 Campos da Prata / PI",Gael Pastor,721119,3632
81632,"Vale de Carvalho, 60
Jardim Felicidade
49960916 Costela de Goiás / PR",Caroline Borges,994971,2133
31215,"Passarela de Novaes, 84
Aeroporto
59969868 Melo / RR",Juliana Pacheco,355437,2816
44225,"Morro de da Paz
Vila Aeroporto
69521-807 Teixeira da Praia / DF",Enrico Viana,81977,3906
89435,"Parque Porto, 62
Miramar
08527-015 Pires / MT",Bruna Azevedo,516906,3477
24376,"Pátio da Costa
Luxemburgo
06753-091 Cardoso Grande / RS",Gabriela Nogueira,391908,2489
73895,"Lago Mendes, 58
Vila São Paulo
57361-790 Silva / AM",Srta. Stella da Mota,977364,4909
15204,"Estrada de Marques, 737
Itaipu
19537-170 Vargas Paulista / SE",Luísa Silveira,239820,1791
40089,"Setor Jesus
Alpes
85836-936 Andrade / PA",Srta. Ayla Lima,216515,4458
51993,"Aeroporto Ribeiro
Cardoso
58547244 Moura do Amparo / TO",Emanuelly Cassiano,205318,2793
37235,"Esplanada Otávio Marques, 19
Jonas Veiga
85693-011 Cardoso do Amparo / CE",Marcelo Castro,124570,2902
34635,"Aeroporto Rocha, 7
Santa Efigênia
17123916 Araújo / ES",Marcelo Almeida,92500,4204
57349,"Vila de Azevedo
Belvedere
90070255 Pastor / PA",Antônio Siqueira,542165,4785
84595,"Área Jade Costa, 651
Vila Santo Antônio Barroquinha
61206-522 Viana do Amparo / MA",Arthur Miguel Montenegro,137442,2812
15951,"Fazenda de Lopes, 92
Nossa Senhora Aparecida
04280-873 Ferreira de Ferreira / SC",Pietro Jesus,618661,4889
73351,"Campo Ana Julia Carvalho, 87
Paulo Vi
20869231 Monteiro / PI",Sr. Isaque Pereira,762228,4470
77827,"Esplanada Lorena Martins, 2
São Cristóvão
97782-731 da Rocha / PA",Brenda Machado,959027,2598
80787,"Favela Emanuel Casa Grande
Dona Clara
48526450 Sá da Serra / RS",Cecília Gomes,219461,3610
47413,"Distrito Borges, 13
Bacurau
80934-548 Melo / MA",Valentina Mendonça,847933,4941
71937,"Vale Machado, 79
Primeiro De Maio
66550-632 Ramos / MS",Aurora Moreira,441702,606
93880,"Recanto Benício da Cruz, 68
São Geraldo
80355-032 Azevedo da Mata / RR",Melissa Fonseca,321943,2718
46178,"Vila de Fernandes, 77
Vila Calafate
72383460 Dias / MT",Bárbara Moreira,963882,4173
23937,"Via José Pedro Castro, 8
São Benedito
75349-499 Nascimento / MT",João Pedro Ramos,700969,1875
39650,"Trecho Lucas Gabriel Andrade, 996
Jardim Vitoria
52119-897 Alves da Praia / SE",Henrique Pinto,426808,984
2782,"Loteamento Luiz Felipe Santos, 1
Canadá
63796316 Peixoto / AL",Benicio Teixeira,964300,3959
64121,"Pátio Rodrigues
Funcionários
85950-874 Cardoso do Oeste / MT",Bruno Marques,395028,3401
18694,"Chácara Cardoso, 54
Vila Nova Gameleira 1ª Seção
28792314 da Rosa / SC",Gabrielly Fernandes,907732,4471
53565,"Área Rebeca Barbosa, 49
Garças
51293313 Gomes / PB",Oliver Macedo,343720,603
46489,"Residencial Brito, 36
Paraíso
00013-866 Siqueira / RJ",Gabriela Martins,975330,2743
35808,"Feira de Fernandes
Vila Nova Cachoeirinha 3ª Seção
84960-995 Ferreira / SE",Yuri Guerra,133710,3676
53744,"Alameda de Moreira, 41
Vila Engenho Nogueira
53777716 Lopes / SE",Pedro Henrique da Rocha,465447,2229
63400,"Viela de Peixoto, 92
Engenho Nogueira
10452-638 da Rocha dos Dourados / PA",Sarah Almeida,958377,1119
69963,"Lagoa de da Paz, 380
Outro
15855278 Nogueira de Fernandes / GO",Maria Luísa Garcia,80245,2053
48529,"Rua Ayla Brito, 9
Jardim Do Vale
33218144 Caldeira / AL",Dra. Nicole Rezende,235771,3335
96179,"Distrito de Correia, 367
Jardinópolis
02190-101 Sales da Praia / PE",Vicente Dias,972727,2599
5730,"Via da Cunha, 97
Palmeiras
84753-233 da Costa Alegre / MS",Enzo Farias,372083,4145
5426,"Vereda Souza, 99
Jardim Do Vale
78066952 Vasconcelos Grande / MG",Isadora Alves,948757,3613
36732,"Rua Dias
Nossa Senhora De Fátima
78914462 da Costa do Oeste / AP",Ana Sophia Nascimento,454308,4553
75186,"Via Ribeiro, 567
Alto Das Antenas
99226-280 Peixoto do Norte / MS",Marcos Vinicius Silveira,962644,4653
76267,"Sítio Melissa Castro, 425
Jardim Dos Comerciarios
36790851 Fogaça / RS",Davi Miguel Aparecida,859617,3988
73148,"Passarela de Rodrigues
Vista Do Sol
39645-830 Brito dos Dourados / TO",Brenda Macedo,285329,1717
55938,"Quadra de Andrade, 93
Comiteco
59223-711 Cassiano do Oeste / MS",Ester Albuquerque,934341,4699
31476,"Viaduto Lima, 51
Madri
11081366 Porto / MA",Luísa Pastor,253074,4649
22618,"Loteamento de Ramos, 979
Vila Olhos D'água
99928739 Vasconcelos / ES",Isabela da Rocha,564045,4688
55079,"Vila Davi Lucca Almeida
Novo Das Industrias
58745-479 Sampaio / GO",Mariah da Rosa,233903,4494
72842,"Estrada Giovanna Porto, 1
Conjunto Minas Caixa
82825339 Vasconcelos Verde / RO",Juan da Cunha,244410,2979
51377,"Setor de Melo, 59
Jardinópolis
32165-869 Ferreira / GO",Dra. Rebeca Rocha,927848,1463
42074,"Lago de Cavalcante, 270
Olaria
03372179 Barros / RJ",Pedro Lucas Camargo,172504,4904
11083,"Residencial Matheus Borges
Nova Granada
59622169 Sá do Norte / BA",Yan da Costa,408010,1188
4153,"Campo de Farias, 853
Castanheira
20740-497 da Rosa dos Dourados / MG",Marcela Gomes,453562,4939
20787,"Campo de Ferreira, 78
Nossa Senhora De Fátima
37142307 Vasconcelos do Oeste / SE",Calebe Borges,278562,698
2919,"Núcleo de Porto, 84
Universitário
78921-793 Silva de Fonseca / PR",Heloísa Sampaio,713833,4060
25434,"Feira de Macedo, 10
Vila Mantiqueira
44904014 Fernandes das Flores / AL",Alexia Nunes,937634,1784
78611,"Ladeira de Fonseca, 38
Planalto
57187-969 da Mata / RR",Juliana Souza,64865,2296
9156,"Lagoa Cecília Pastor, 79
Vila Fumec
47777-297 Barbosa do Norte / RS",Dr. Bruno Gonçalves,53448,4865
70140,"Área de Leão
Pilar
70932-441 Teixeira de Garcia / MS",Dr. Henry Andrade,388427,1486
38118,"Morro da Luz, 3
Maria Tereza
97865289 Silva de Pereira / MT",Isabella Ferreira,666738,4604
89634,"Pátio Ayla Peixoto, 472
Coração Eucarístico
44293-443 das Neves da Serra / PE",Sr. Matheus Dias,102927,3316
42696,"Campo de Rodrigues
Confisco
18090-907 Oliveira / PB",Agatha Dias,933228,1612
10084,"Distrito Cassiano, 8
Lindéia
07852794 Azevedo / MS",Giovanna Moura,598511,2231
76606,"Quadra Sampaio, 49
Maravilha
30422087 Marques / RR",Paulo Pinto,471126,3325
5775,"Estrada Martins, 44
Casa Branca
64726571 Carvalho do Campo / AC",Joana Gomes,935154,3405
8731,"Condomínio Teixeira, 5
Graça
73128-942 Peixoto de Albuquerque / RJ",Enzo Gabriel Vieira,126385,4402
94374,"Parque de Ferreira, 30
Eymard
14556527 Lima dos Dourados / BA",Sofia Garcia,189169,2662
2367,"Área de Andrade, 25
Vila Copacabana
30387710 Novais / MS",Maria Flor Almeida,716271,3294
32254,"Loteamento de Ferreira, 37
São Gabriel
05980-588 Silva / PA",Elisa Rezende,266458,3955
30164,"Praia Diogo Santos, 97
São Francisco
14429-396 Correia / RN",Rafael Caldeira,200493,3616
74270,"Passarela Guerra, 9
Esplanada
57185134 Cavalcanti da Serra / MG",Vitor Gabriel Cassiano,245964,1139
2256,"Alameda Cassiano, 951
Vila Cloris
63340676 Jesus / RN",Dr. Lucca Cirino,210047,1174
50740,"Travessa de Rocha, 91
Vila Boa Vista
20969-311 Cavalcante / SC",Ian Abreu,75869,1573
23479,"Conjunto de Rocha, 97
Vila Maloca
59953-739 Sá Verde / PI",Benjamin Pastor,816199,3059
29748,"Fazenda Silveira
Cônego Pinheiro 2ª Seção
92157892 da Mota / AL",Sr. Yuri Novais,880149,2202
65667,"Travessa de Ribeiro
Centro
97096-662 Casa Grande / AL",Hadassa Caldeira,353052,2154
93158,"Quadra de Pinto, 38
São Luiz
64351-495 Pires Grande / AC",Ravy Vasconcelos,162774,533
5043,"Largo Nunes, 19
Xangri-Lá
05744267 Peixoto de Araújo / DF",Jade Casa Grande,305037,1585
86434,"Feira Sousa, 87
Canadá
52128719 Pires da Mata / MT",Ana Clara Nunes,407365,2576
36213,"Núcleo Freitas, 81
Leticia
85386124 Sousa / AC",Augusto Barbosa,471579,1649
95111,"Campo Azevedo, 657
Belmonte
23570-739 Pacheco da Mata / BA",João Guilherme Machado,328079,1635
82550,"Área de Fonseca, 55
São Paulo
43221753 Ferreira da Serra / MG",Kamilly Cirino,709648,575
74124,"Condomínio de Macedo
Trevo
38721561 Vieira de Minas / CE",Luna Sousa,425945,3472
82402,"Lagoa de da Luz, 33
Madri
44870049 Sales Grande / MS",João Gabriel Gomes,199289,1225
97307,"Núcleo de Mendonça, 14
Garças
80291271 Cassiano / MS",Eduarda Melo,978808,3082
76602,"Condomínio Zoe Monteiro, 7
Nossa Senhora Do Rosário
68671-189 Rocha do Norte / TO",Larissa Freitas,349472,2973
64565,"Distrito Esther Brito, 65
Pindura Saia
45187-082 Almeida Verde / DF",Antônio Carvalho,519387,3605
43352,"Morro de Rocha, 738
Novo Das Industrias
61129-817 Costa das Pedras / AP",Cauê Moraes,171542,4724
11977,"Residencial de Peixoto, 58
Vila Maloca
04249467 Marques de da Mota / AL",Diego Aparecida,427404,581
11224,"Setor Fogaça, 4
Beija Flor
71985887 Cavalcante / BA",Clara Aragão,852347,4019
38556,"Pátio Leão
Jaraguá
06973407 Rezende da Serra / PR",Asafe Silveira,564153,816
63706,"Distrito de Castro, 24
Ouro Preto
22583-150 da Rosa de Costa / SE",Ana Lívia Lima,846858,2991
80965,"Fazenda Aparecida, 9
Inconfidência
25155-748 Azevedo dos Dourados / MG",Alice Santos,111486,826
97398,"Loteamento Manuella Novaes, 309
Flavio Marques Lisboa
05773626 Duarte de das Neves / GO",Ravi Lucca Jesus,140671,801
27673,"Vale de Moura, 38
Xodo-Marize
56617604 Moraes / PR",Benicio Caldeira,333898,2370
1219,"Trecho Otto Campos, 585
Marajó
22890604 Pinto / RS",Sra. Allana Carvalho,305514,2123
69317,"Parque Bruna Pastor, 12
Monte São José
21592169 da Mata / PA",Sra. Maria Cecília Nunes,709630,3569
16721,"Morro Ravi Moreira, 9
Nova Cachoeirinha
95381541 Cavalcanti / RJ",Srta. Maria Alice Vasconcelos,295753,4254
53419,"Viela Zoe Garcia, 55
São Vicente
10414350 Almeida do Sul / AM",Pietra Moura,673966,4348
48253,"Favela Luigi Casa Grande
Acaiaca
66041-270 Fernandes de Jesus / SC",Ana Teixeira,878869,4580
99252,"Loteamento Benicio Caldeira, 82
Nova Granada
78541-453 Sampaio / AM",Ester Marques,651643,4126
72197,"Loteamento de Camargo, 44
Vila Sumaré
57716-639 Pinto do Oeste / GO",Maria Laura Novaes,480707,2736
57933,"Largo de Pacheco, 6
Vila Madre Gertrudes 4ª Seção
43404850 Farias Paulista / PB",Giovanna Rocha,843460,2601
72373,"Vale Daniela Azevedo, 94
Tres Marias
23998-287 da Cunha das Flores / RJ",Nathan Alves,472845,4662
54736,"Loteamento Souza, 11
Virgínia
09101750 Casa Grande / AM",Olivia Sousa,889200,4953
51521,"Passarela Valentim da Paz, 59
Leticia
08620287 Carvalho / RR",Sr. Henrique Aragão,803592,4166
16653,"Favela Campos, 83
Vila Cloris
88086378 da Cruz / PB",Marcos Vinicius Correia,681971,4375
13542,"Ladeira de Camargo, 23
Vila Canto Do Sabiá
98725466 Vieira / SP",Marina Farias,768027,4375
55357,"Núcleo da Luz, 69
Santa Efigênia
68944-571 Carvalho da Prata / MA",Sr. João Gabriel Casa Grande,369904,1406
57461,"Parque Cardoso
Grotinha
90442-528 Casa Grande / AL",Helena Gomes,552491,2549
76742,"Residencial de Novaes, 84
Vila Independencia 1ª Seção
89290481 Araújo / MS",Otto da Cruz,306325,3813
24708,"Conjunto Gomes, 9
Bernadete
99164589 Moraes Paulista / SC",Ágatha Rodrigues,714390,3527
77674,"Núcleo Ana Júlia Marques, 69
Vila Maloca
84663-523 Mendes / RJ",Francisco Vargas,379962,3315
88573,"Trevo de Lima, 60
Santa Margarida
41870-644 Camargo Paulista / RJ",Thiago Aragão,206818,1277
78569,"Vereda de Novaes, 342
Alpes
74684532 Mendonça / RR",Heloísa Pastor,398000,2307
50110,"Rodovia de Câmara, 6
Vila Pinho
33552-611 Porto / SC",Caio Dias,186082,2223
97503,"Passarela Sampaio, 494
Parque São José
18668-853 Nascimento / RS",Giovanna Pacheco,120358,2995
18587,"Vereda da Rosa, 710
Nova Suíça
85355260 Pacheco da Praia / MS",João da Costa,448757,3880
17578,"Passarela Caroline Souza, 749
Vila Das Oliveiras
84069-272 Monteiro de da Cruz / MG",Yasmin Castro,85937,887
82712,"Jardim Gonçalves, 20
Vila São Gabriel Jacui
19015822 Pires de Azevedo / RR",Pedro Henrique Ribeiro,159070,4757
65442,"Praça Dante Cardoso, 18
Santa Monica
12912106 Pinto / RR",Sr. Leandro Caldeira,745176,1080
83392,"Pátio Ian Brito
Vila Jardim Alvorada
24991899 Nascimento do Oeste / MT",Cauã Fogaça,393699,923
5679,"Parque Mathias Abreu, 47
Jardim América
85946-714 Pimenta / RO",Theo Vasconcelos,178280,2266
49674,"Residencial Ana Luiza Pereira, 385
Vila Santa Monica 2ª Seção
49771582 Pimenta de Ramos / RN",Melina Nunes,157227,1577
56269,"Fazenda de Rios, 219
Barro Preto
01438-382 Marques dos Dourados / MA",Milena Sales,101509,2643
48375,"Núcleo de Caldeira
União
91425-677 Monteiro das Pedras / AM",Caleb Moreira,833104,2364
56506,"Alameda Nunes, 4
Novo São Lucas
97020856 Vasconcelos / RR",Diego Pires,899677,2786
33106,"Largo da Luz
Cidade Jardim
92409149 Almeida da Serra / AC",Henry Gabriel Novais,761991,1793
7851,"Rodovia Enzo da Cruz, 20
Tupi B
50314560 Guerra de Melo / PA",Luna Carvalho,665673,3199
1695,"Esplanada de Pereira, 6
Mirante
93475-101 Leão / RN",Guilherme Silveira,375236,1023
47176,"Vale Emanuelly Campos, 9
Boa Viagem
96457-060 Guerra / BA",Vitor Gabriel Fernandes,324481,2723
25811,"Esplanada Caleb das Neves, 575
Vila Boa Vista
35763864 Alves / PB",Lorenzo Teixeira,89075,2062
21948,"Estação Cardoso, 17
Vitoria
96526996 Nunes de Albuquerque / TO",Milena Abreu,539842,2036
67345,"Núcleo Carvalho
Barroca
12116-571 Vargas da Praia / AL",Sr. João Guilherme Monteiro,408656,3392
729,"Esplanada Brito
Vila Ecológica
58095-460 Peixoto da Mata / RJ",Ana Laura Vasconcelos,448205,1171
19304,"Condomínio de Pimenta, 616
Calafate
11442-459 Gonçalves das Pedras / GO",Marcos Vinicius Barros,537470,1133
42815,"Setor Moreira, 6
Vila Madre Gertrudes 2ª Seção
74160792 Mendes / TO",Srta. Gabrielly Siqueira,726748,4862
7965,"Sítio Novaes
Coração De Jesus
12743-310 Mendes / SC",Sr. Enzo Gabriel Carvalho,830320,4003
83061,"Condomínio Silva, 66
Vila Coqueiral
35928177 Albuquerque de Pinto / CE",Marcelo Cavalcante,420072,2525
33815,"Esplanada Daniela Guerra, 11
Ápia
29430-709 Campos / GO",Alice Borges,105964,2243
41418,"Recanto Sophia Mendes, 3
Boa União 2ª Seção
14503-333 Vargas da Mata / AP",Luiz Miguel da Mata,799514,1523
79627,"Loteamento de Andrade, 8
Primeiro De Maio
16191-881 Pacheco / MA",Natália Sampaio,219293,1643
29215,"Rodovia Maitê Nunes, 87
Engenho Nogueira
87126335 Siqueira / CE",Anna Liz Mendonça,928526,1416
18847,"Vila de Cavalcante, 40
Ernesto Nascimento
66527-933 Siqueira das Flores / PB",Henry Barros,318040,3863
40153,"Praia de Peixoto, 40
Camargos
92363255 Costela / ES",Isaque Novaes,619855,1788
9846,"Colônia Brito, 60
Acaiaca
19097-199 Moraes das Pedras / SC",Ana Carolina Barbosa,364547,4427
68740,"Viaduto Maria Cecília Siqueira, 42
Ápia
80548-848 Rezende / GO",Anthony Gabriel Cunha,608237,3179
37249,"Travessa de Novaes, 95
Satelite
67510-392 Costa da Serra / MT",Maria Sá,341351,1577
95818,"Vale de da Costa, 5
Vila Trinta E Um De Março
25025-767 da Luz do Oeste / RR",Maria Liz Costela,302695,3533
61507,"Largo de Carvalho
Tirol
05827482 Fernandes das Flores / RN",Bruna Pinto,702577,4604
56292,"Rodovia das Neves
São Sebastião
46895-544 Novais / AM",Sr. Gabriel Souza,492328,999
99230,"Chácara Andrade, 23
Virgínia
58647-334 Porto / CE",Henry Moura,718818,2598
45025,"Rodovia Sales, 68
Vila Da Luz
48509376 Andrade / PI",Rafaela Vasconcelos,817380,3936
49919,"Vila Luiza Vieira, 43
Vila Califórnia
48598048 Rodrigues / PI",Yuri das Neves,719269,911
41268,"Distrito Luigi Rios, 3
Laranjeiras
62752430 Casa Grande do Galho / PA",Bianca Camargo,298213,3255
16635,"Lago Carvalho, 75
Vila Tirol
47944-444 Martins dos Dourados / CE",Rael Azevedo,742606,2427
46096,"Praia Pietro Lima, 7
Sagrada Família
77436-740 Vieira Alegre / RJ",Sarah Montenegro,981196,4728
72577,"Vila de Nunes
Pantanal
33691-610 Leão / AC",Raul Rezende,325495,2065
90132,"Colônia Dias
Vila Madre Gertrudes 3ª Seção
24171-501 da Conceição / PB",Maria Alice Mendonça,147490,2476
65617,"Favela Novaes, 637
Barroca
68671138 da Conceição Alegre / AM",Luiza Dias,250137,3070
25674,"Sítio Dom Azevedo, 10
Conjunto Minas Caixa
23128840 Campos dos Dourados / PE",Asafe Pimenta,904372,3405
47166,"Passarela Davi Duarte, 18
Vila São João Batista
02061903 Sales / GO",Ísis Ramos,636828,1223
47193,"Vereda Lima, 14
Heliopolis
07001471 Silva de Ribeiro / GO",Rebeca Teixeira,867565,992
44895,"Setor de Jesus, 591
Jardim Alvorada
15553-959 da Conceição do Sul / GO",Dra. Ana Sophia Araújo,101350,1971
42754,"Viaduto João Lucas Rodrigues, 52
Havaí
34163-636 Souza do Amparo / MT",Srta. Ana Sophia Sá,891754,2025
5965,"Vila de Andrade, 61
Alípio De Melo
70314598 Cavalcante da Serra / GO",Dr. Heitor Duarte,565413,4951
72672,"Loteamento Guilherme da Cunha, 176
Taquaril
07070750 Nogueira / PI",Stephany Pereira,571911,523
5183,"Pátio Moura, 60
Cinquentenário
39475-476 Pinto do Campo / PR",Giovanna Pires,941126,3452
95425,"Ladeira Lorenzo Machado, 84
Alta Tensão 1ª Seção
67607-077 da Rocha / ES",Francisco da Mata,928912,1511
68998,"Parque de Nascimento, 28
Dom Cabral
90693-341 Pastor do Campo / PR",Benicio da Rocha,955761,1635
89527,"Feira Cavalcanti, 496
Monte São José
94543-174 Sousa de Guerra / RS",Marina Pacheco,181047,3671
53851,"Trevo de Ribeiro, 1
Alto Das Antenas
75511-752 Siqueira / PE",Maitê Abreu,544880,4878
4205,"Rodovia de da Mata
Candelaria
59106126 Jesus das Pedras / ES",Cecília Pinto,824138,4373
66020,"Feira da Costa, 10
Ademar Maldonado
11071854 Rodrigues dos Dourados / SE",Ana Cecília Ribeiro,620276,3013
52842,"Lagoa Pimenta, 658
Vila São Rafael
49408-017 Sampaio / MA",Noah Barros,616268,951
32027,"Estrada Moraes, 217
Marieta 1ª Seção
37372749 da Cunha / DF",Pietro Mendonça,234731,4040
13245,"Travessa Samuel Jesus, 778
Pindorama
33097-482 Barros / PE",Dra. Bárbara Fogaça,571273,4844
59781,"Setor Rezende, 12
Nova Vista
10708-049 Novais da Serra / CE",Yuri Vargas,458289,4422
93703,"Loteamento Lopes, 383
Cidade Nova
26070-543 Pereira / TO",Bruno Lopes,864831,2940
46406,"Distrito Luigi Rios, 79
Vila Olhos D'água
87262650 Moraes das Pedras / AM",Arthur Garcia,692186,2838
99979,"Fazenda Martins, 52
Jardinópolis
87563606 Peixoto de Campos / PI",Nicole Barbosa,735159,3846
77605,"Praia Enrico Cassiano, 67
Vila Trinta E Um De Março
87333-322 Campos / TO",Sr. Diego Pimenta,438143,2144
58162,"Campo Stella Machado, 64
Canadá
78307542 Silva / CE",Dr. Benício Guerra,749653,1597
95860,"Lago de Sá
Antonio Ribeiro De Abreu 1ª Seção
92851725 Cardoso do Galho / AP",Isabelly Rocha,806243,779
26020,"Campo Almeida, 976
Guaratã
26023656 Araújo / RO",Eduarda Cardoso,691795,4713
31840,"Conjunto Farias, 58
Barroca
19225291 Machado / MA",Maria Luiza Campos,527454,1966
33961,"Morro Luiza da Mata, 9
Vitoria Da Conquista
76809561 Abreu / RR",Stella Vieira,857858,4724
77061,"Pátio Carolina Sampaio, 26
Vila Petropolis
29563-893 Nogueira de Casa Grande / DF",Lucas Porto,400873,3662
61371,"Rodovia Gonçalves, 8
Dona Clara
97310-536 Novaes / TO",Emanuella Duarte,759017,1070
35830,"Conjunto de Garcia, 1
Saudade
26189677 Pimenta / MG",Julia Sales,532578,1869
4543,"Praça Nascimento
Alto Barroca
16974244 Sá / PE",João da Rocha,694939,3878
46186,"Favela Marcela Mendonça, 44
Europa
46635844 Nascimento / SC",Agatha Cavalcante,686765,563
29805,"Passarela Sabrina Cardoso, 73
Vila Da Luz
07359-097 Vieira Grande / CE",Ana Sophia Vargas,929553,2124
54749,"Esplanada da Paz, 963
Pongelupe
26258-185 Pires / PA",Maria Alice Nunes,753632,2207
93694,"Largo Moura, 64
Primeiro De Maio
59534134 Costa Grande / MA",Enrico Carvalho,297049,1115
1980,"Campo Rezende, 4
Dom Bosco
80312758 Nascimento de Sousa / DF",Sra. Maria Flor Barros,65843,675
54014,"Avenida Clarice Aparecida, 5
Ademar Maldonado
95001747 Guerra / PI",Laís Viana,78847,1301
19888,"Residencial da Cruz
Santa Terezinha
47827542 Sampaio de Monteiro / PE",Bryan Pimenta,842168,3574
21317,"Quadra Ísis Sales, 4
Havaí
15285577 da Cruz de Martins / RS",Asafe Ribeiro,805330,3366
52123,"Ladeira de Freitas, 85
Santa Helena
91129099 Machado / RJ",Dr. Marcos Vinicius Silva,339145,1579
75863,"Pátio de Costa
João Pinheiro
94278-658 Alves do Galho / RJ",Vitor Gabriel Garcia,272868,1483
79188,"Lago de Barbosa, 898
São Luiz
22759709 Sousa / PB",Anthony Gabriel Guerra,907633,3312
55780,"Fazenda Bella Borges, 47
Vila Minaslandia
21886-287 Sampaio / PE",Gabriel Correia,805469,4962
61897,"Setor Paulo Azevedo, 770
Castelo
26471730 Borges dos Dourados / AP",Lívia Montenegro,890996,3991
13372,"Condomínio de Andrade, 4
Vila Ecológica
58687-884 Caldeira / CE",Davi Lucas Santos,817788,897
55660,"Jardim Pinto, 22
Floresta
12321998 Siqueira da Prata / GO",Juan Lopes,643518,2560
7575,"Largo de Macedo, 866
Estoril
30196-188 Fogaça Grande / AL",Maria Luiza Mendonça,714896,2888
1292,"Vale Sarah Pimenta, 44
Boa União 1ª Seção
74305599 Barros Verde / BA",Srta. Maria Helena Costela,838411,4287
19761,"Loteamento José Miguel Novais, 5
Vila Vista Alegre
77483-974 Lopes / SE",Lívia Pereira,127769,575
24791,"Jardim Rezende, 77
Barroca
65114807 Nascimento / SP",Otávio da Rosa,504516,1979
10816,"Chácara Francisco Cassiano, 88
Barão Homem De Melo 2ª Seção
34706688 Gonçalves / AL",Mariana da Mata,655826,1800
89151,"Ladeira de da Costa
Candelaria
38814-919 Caldeira / PB",Leonardo Costela,167857,2810
67674,"Rua Viana, 14
Cruzeiro
94366409 Mendonça Alegre / SE",Pedro Lucas Rodrigues,59902,2561
