idlocacao,inquilino,valor_contrato,vigencia,localizacao,corretor,imovel
89210,Pedro Sampaio,13515,2023-01-17,"Aeroporto Lívia Cassiano, 394
Delta
98306952 Montenegro de Vieira / SE",Sophia Andrade,64469
34099,Benício Aragão,3250,2023-10-26,"Rua de Peixoto, 30
Dom Bosco
17517-612 Cassiano Alegre / AP",Luigi Novais,16070
13148,Ana Clara Lopes,5668,2022-04-19,"Viaduto de Garcia
Flamengo
35607775 Almeida dos Dourados / SP",Luiza Andrade,18302
34972,Sr. Yago Nunes,7965,2022-05-03,"Viela Pires, 81
Vila Engenho Nogueira
70714070 Cunha / MG",Maria Flor Rios,85731
68,Isabelly Pimenta,3072,2023-12-06,"Avenida Lopes, 8
Serra Do Curral
78998-285 Dias das Pedras / ES",Ágatha Lopes,1967
98158,Luana Borges,14457,2024-10-10,"Jardim Novaes, 90
Alta Tensão 2ª Seção
28604-225 Pires da Praia / SE",Sr. Mateus da Luz,63702
982,Ravy Campos,11294,2022-10-23,"Travessa Antônio Costa, 2
Camargos
46530-821 da Mata Paulista / AP",Maya da Conceição,12547
64018,João Miguel Azevedo,18029,2022-05-18,"Área Enzo Gabriel Costa, 2
Nova Suíça
53700281 Jesus / AL",Sra. Isadora Gomes,30840
74730,Ana Júlia Peixoto,18833,2023-10-27,"Via Emanuelly Lima, 28
Distrito Industrial Do Jatoba
42365-599 Oliveira da Prata / SC",Ana Liz Marques,26910
53364,Lucas Macedo,8108,2023-01-28,"Estrada de Pastor, 57
Diamante
85776-844 Barbosa / RJ",Sophia Sampaio,27203
60750,Davi Miguel Martins,7914,2022-02-24,"Trevo Farias, 6
Vila Das Oliveiras
57658276 Aragão / TO",Manuela da Mota,63554
81796,Dra. Isabela Cassiano,10473,2022-07-19,"Viela Freitas, 27
Vila Mangueiras
02880-665 Correia / TO",Dr. Davi Miguel Nunes,84141
91723,Pietra Monteiro,4817,2022-07-19,"Fazenda de Fogaça, 21
Boa Vista
74867859 da Cunha / SC",Luiz Fernando Correia,54144
7977,Dr. Vitor Pinto,11379,2023-10-25,"Loteamento Amanda Oliveira, 4
Monte Azul
73521654 Azevedo / BA",Arthur Gabriel Cardoso,15542
99422,Ian Brito,13061,2024-01-01,"Feira Maria Vitória Rocha, 2
Universitário
78207752 Silva de Albuquerque / PA",Marcos Vinicius Correia,84869
99680,Eduardo Pimenta,7070,2022-07-09,"Feira Theo Machado, 49
Vila Minaslandia
24439-453 Barros / PA",Caroline Fernandes,99153
56561,Davi Lucas Pires,7138,2024-10-19,"Núcleo Maria Liz Gonçalves, 2
Graça
30354-909 Garcia do Campo / CE",João Vitor Azevedo,85857
55958,Davi Lucca Mendes,13225,2022-06-12,"Via Cassiano, 99
Flavio Marques Lisboa
63074698 Almeida / PE",Dra. Sophie Cardoso,90430
36032,Sra. Alice Gonçalves,18907,2023-10-10,"Chácara Luiz Otávio Pacheco, 97
Barão Homem De Melo 2ª Seção
12891383 Borges da Mata / BA",Bella das Neves,64241
2538,Melina Correia,18422,2021-12-18,"Praia da Luz
Vale Do Jatoba
68742-592 Sampaio / MS",Oliver Vieira,96950
79452,Caroline Vargas,10138,2023-04-06,"Residencial de Cardoso, 77
Belmonte
23083381 Castro / AL",Davi Lucas Porto,80480
86236,André da Costa,8905,2024-02-16,"Área Cassiano, 15
Granja De Freitas
58686-469 Guerra de Goiás / RO",Srta. Emanuella Carvalho,36467
76971,João Lucas da Costa,17603,2023-05-10,"Aeroporto de Cunha, 76
Acaba Mundo
59042437 Sales / ES",Rafaela Teixeira,26675
26480,João Guilherme Cirino,7397,2024-07-25,"Estrada Aragão
Zilah Sposito
22549-874 Fernandes / PA",Igor Garcia,33279
27717,Oliver Farias,6834,2022-07-04,"Sítio Vieira
Silveira
71895-902 Vieira da Mata / SC",Caroline Gonçalves,46510
71204,Giovanna Monteiro,4381,2023-10-06,"Viaduto de Fonseca, 10
Cachoeirinha
36995984 Novais do Amparo / RO",Antônio Gonçalves,73057
9497,Lara Mendes,18340,2023-09-27,"Avenida da Paz, 4
Vila São Dimas
37678383 da Mota / ES",Hadassa da Cruz,80643
40274,Dr. Theodoro Lima,3046,2024-01-15,"Praia de Ramos, 322
Jaqueline
11672-328 Mendes Alegre / RR",Ana Sophia Martins,96400
74970,Maitê Pimenta,14726,2022-04-19,"Avenida Gomes
Vila Jardim Montanhes
30291-050 Peixoto / RR",Davi Miguel Gonçalves,81043
94106,Isaac Barros,13241,2022-04-06,"Ladeira de Viana, 1
Dom Silverio
82607-543 Ferreira das Flores / CE",Sr. Levi Cirino,19256
5868,Olívia Nunes,6817,2022-03-22,"Rodovia de Sousa, 9
Jardim Montanhês
28491291 Fonseca / GO",Rhavi Barbosa,24695
61206,Isabel Almeida,5652,2022-09-03,"Vila Vieira, 70
Juliana
85292699 Moura / PI",Oliver das Neves,68496
76754,Arthur Miguel Nascimento,4887,2023-04-04,"Residencial Albuquerque
Novo Santa Cecilia
35218-975 da Paz / MS",Mariana Peixoto,21776
96504,Maysa Câmara,17749,2024-10-27,"Parque Silva, 96
Granja Werneck
65435-920 Moraes / AL",Sra. Liz Souza,47862
84299,Ana Júlia Albuquerque,16683,2024-09-28,"Lagoa de Cirino, 64
São Pedro
24422-195 Fogaça da Mata / RO",Samuel Moraes,37215
40942,Rodrigo Almeida,13572,2023-12-17,"Jardim Julia Correia, 718
Vila Copasa
68101-462 das Neves de Oliveira / DF",Cecilia Nunes,95655
64858,Vitor Hugo Borges,13606,2022-11-15,"Núcleo Castro, 65
Conjunto Taquaril
04252151 Mendonça / RR",Calebe Lopes,84517
27918,Lívia Carvalho,13119,2023-03-19,"Largo Costa, 12
Boa Vista
99989358 Cunha / RR",Luiza Ribeiro,10469
77162,Felipe Fonseca,5901,2024-03-28,"Vereda Andrade
Barão Homem De Melo 3ª Seção
37326413 Albuquerque do Amparo / DF",Helena Jesus,88015
15796,Ana Carolina Teixeira,4022,2024-09-21,"Área Yago Vasconcelos, 50
Vila Califórnia
02614294 Oliveira / PI",Dra. Clara Jesus,64739
96035,Elisa da Costa,18617,2022-11-11,"Favela Cirino, 9
Olaria
49712869 Mendonça / TO",João Gabriel Macedo,3011
59540,Ravy Fonseca,15274,2023-07-15,"Fazenda João Felipe Martins
Bairro Das Indústrias Ii
72049192 Farias do Sul / TO",Maria Flor Moura,23721
18564,Sra. Ana Lívia Cassiano,14498,2023-03-05,"Vale de Cassiano, 89
Mariano De Abreu
69618-245 Cunha das Pedras / MT",Caroline Pires,60932
28377,Luigi da Mota,7778,2023-01-21,"Ladeira Barbosa
Vila Da Luz
52007539 da Mota / SE",Anthony Marques,88313
59861,Sophie Fogaça,2883,2024-01-28,"Chácara da Costa
Colégio Batista
63588-462 Sousa / ES",Isaque Sousa,67311
32898,Maya Cavalcante,18921,2023-11-16,"Chácara Silveira, 68
Marilandia
21723096 Aragão do Campo / AC",Dr. Murilo da Cruz,33172
15717,Gabriela Gomes,2005,2022-04-23,"Campo de Jesus, 8
Conjunto Providencia
38706-522 Vasconcelos do Oeste / RR",Leonardo Mendes,31636
88312,Gustavo Montenegro,13479,2023-07-13,"Campo Silveira, 27
Concórdia
72599130 Pacheco do Norte / PB",Guilherme Siqueira,17274
14023,Ana Viana,5513,2023-09-21,"Avenida de Rodrigues, 10
Araguaia
18376-009 Lima / SE",Maria Júlia Cardoso,1883
40729,Ísis Novais,18192,2023-01-25,"Estrada Maria Luísa Lopes, 55
Andiroba
63126-195 Martins de Pacheco / SE",Sarah Monteiro,86421
8599,Ana Cecília Moreira,4589,2024-02-19,"Viaduto Pereira, 21
Leonina
78618143 Correia Alegre / AM",Hadassa Vargas,36632
63683,Yan Fonseca,15926,2024-02-28,"Estação Isis Gomes, 3
Itaipu
14174-732 Montenegro de Viana / MT",Mateus Camargo,44582
52427,Anna Liz Cassiano,11652,2023-07-03,"Favela Pastor, 97
Vila Oeste
68429-786 Mendes / ES",Srta. Maria Liz da Conceição,89476
91142,Ravy Carvalho,15538,2024-06-26,"Distrito de Garcia, 85
Buraco Quente
62771385 Moura / PR",Sr. Théo Silva,55658
27282,João Fonseca,16262,2024-01-16,"Morro de Barbosa, 16
Vila São João Batista
99860-783 Pereira / BA",Maria Liz Costela,86153
93138,Laís Alves,9230,2024-02-24,"Via João Lucas Castro, 57
Primeiro De Maio
80553679 Fogaça / SP",Milena Vieira,95358
88363,Theo Nascimento,8900,2022-04-02,"Ladeira de Nogueira
Barão Homem De Melo 3ª Seção
67276-212 Souza dos Dourados / MA",Milena Leão,25301
15618,Olivia Nunes,16548,2022-07-04,"Largo Cardoso, 240
Santa Isabel
32852781 Ramos / RJ",Felipe Pastor,49942
60789,Amanda Cunha,17955,2022-07-16,"Viaduto Letícia Sampaio, 38
Vila Barragem Santa Lúcia
54436-046 Cavalcanti / RJ",Luiz Fernando Alves,69736
39198,Vitor Gabriel Câmara,3594,2024-06-15,"Passarela de Almeida, 25
Canadá
88351085 Silveira dos Dourados / TO",Srta. Eloah Lopes,14067
86453,Pietro Porto,4395,2023-04-04,"Núcleo de Fernandes, 796
Luxemburgo
48954-931 Pacheco de da Rocha / MA",Ana Laura Aparecida,92164
36915,Pedro Lucas Gonçalves,13887,2023-07-18,"Lagoa Lopes, 31
Minas Brasil
88352-993 Ramos do Oeste / MG",Lunna Machado,93174
80726,Raul Teixeira,7234,2023-11-11,"Viela Brenda Almeida, 50
Jardim Alvorada
33908606 Sales da Prata / MS",Benicio Melo,96173
34434,Mariana Cavalcante,9899,2023-02-21,"Jardim Alexandre Azevedo, 4
Vila Da Ária
10145032 Vieira do Oeste / CE",Hadassa Fonseca,57292
53129,Ágatha Araújo,4777,2022-06-03,"Campo Garcia, 447
Liberdade
54701-585 Casa Grande da Serra / MT",Ana Liz Fogaça,71565
71091,Sra. Sara da Costa,19370,2023-04-19,"Quadra de Farias, 2
Santa Rita
40802-749 Santos / PE",Noah Gonçalves,3824
73072,Sra. Luna Costa,18390,2023-07-18,"Praça Pacheco, 120
Novo Glória
60508887 Camargo da Serra / SE",Matteo Novais,87155
80187,Melissa Caldeira,3993,2024-08-15,"Campo Jesus, 77
Venda Nova
11842-522 Carvalho / TO",Renan Dias,61647
6120,Theodoro Vieira,11773,2022-07-04,"Núcleo da Cunha, 12
Vitoria Da Conquista
06494-723 Vieira de Câmara / RN",João Guilherme Sá,71666
44695,Sr. Kevin Montenegro,19160,2022-11-19,"Chácara de Sales, 490
Parque São José
22677-024 Melo do Oeste / RR",Nicolas Lima,59694
54520,Emilly Lopes,12374,2022-10-25,"Vila Isaac Cassiano, 11
Laranjeiras
87897186 Cardoso / GO",Diogo Oliveira,66163
5471,Emanuelly Vasconcelos,1554,2023-03-23,"Recanto de Costa
Suzana
64870-350 Carvalho do Campo / PA",Caleb Câmara,76654
6687,Pedro Miguel Cavalcanti,3959,2022-07-08,"Praia de Fonseca
São Marcos
50951-708 Macedo / MG",Asafe Cardoso,6566
27530,Clara Cunha,3104,2024-04-25,"Vale Novais, 1
Camponesa 1ª Seção
18912025 Gonçalves / AP",Gabriel Ribeiro,26492
96041,João Miguel Costela,13419,2023-06-20,"Trecho Correia
Casa Branca
56305303 Nascimento / BA",Dr. João Pedro Ramos,51844
64646,Mateus Gonçalves,1104,2022-09-18,"Área Lima, 29
Vila Jardim São José
19707885 Pacheco / BA",Luiz Otávio Ramos,22545
68377,Luiza Siqueira,19409,2022-09-04,"Estrada de Ferreira, 15
Vila Puc
19266995 Carvalho de Barbosa / PB",Joaquim da Paz,91685
85712,Vicente Rocha,13659,2023-05-30,"Jardim Agatha Sampaio, 111
Atila De Paiva
09593703 da Cunha / MG",Maria Luísa Siqueira,67447
67894,Isabela Porto,17233,2022-10-26,"Setor Albuquerque, 306
Silveira
91594397 Dias Paulista / MA",Sr. João Lucas da Cunha,56982
63022,Stephany Marques,5032,2022-07-30,"Trevo de Vieira, 65
Manacas
70526456 Rocha / ES",Marcelo Costa,1078
96484,Oliver Marques,7850,2023-09-19,"Recanto Levi Costela, 58
Casa Branca
64227915 Cardoso do Oeste / PA",Dr. Francisco Marques,46228
20202,Antony Aragão,19114,2022-01-17,"Pátio de Silveira
Alta Tensão 2ª Seção
16877-473 Novaes Verde / CE",Otávio Mendonça,6044
29400,Maya Novaes,14704,2023-12-31,"Viela de Lopes, 64
Nossa Senhora Do Rosário
16093-991 Aparecida do Sul / RO",Calebe Nogueira,45890
24609,Lara Siqueira,1192,2024-10-28,"Praia Lucas Gabriel Lima
Alto Caiçaras
39352-035 Sales das Pedras / PB",Stella Vargas,71861
86940,Maysa Camargo,6269,2021-12-08,"Rodovia Oliveira
Nova Granada
32130986 Pereira das Flores / MA",Maria Julia Fonseca,37788
72757,Giovanna Mendonça,14513,2023-09-06,"Residencial Monteiro, 6
Alípio De Melo
37210-794 Novaes / GO",Dr. Yago Gomes,64671
22144,Dra. Maria Helena Santos,2896,2022-02-04,"Ladeira Davi Luiz Abreu, 40
Jonas Veiga
76643784 Almeida dos Dourados / RS",Bella Peixoto,85228
39412,Ágatha da Costa,12284,2021-12-04,"Viaduto de Garcia, 90
Boa Esperança
75047368 Moraes da Prata / PI",Erick da Luz,6189
5466,Dr. Marcos Vinicius Azevedo,12373,2022-07-22,"Avenida de da Cruz, 23
Vila Coqueiral
18553-576 da Conceição / MG",Dr. Bryan Ribeiro,65269
48197,Ana Julia Campos,9418,2023-07-02,"Quadra de Moura, 67
Sagrada Família
12177-437 Pinto / AL",Ana Vitória da Paz,34119
70251,Luan Ribeiro,15513,2024-04-17,"Área de Sousa, 62
Vila Trinta E Um De Março
80544120 Dias / RR",Antony Vieira,8550
33359,Maria Flor Borges,5989,2023-11-16,"Estação Gael Henrique Castro, 73
Ernesto Nascimento
93353-801 Sousa do Amparo / PR",Ana Vitória da Cruz,11467
43241,Helena Sampaio,8150,2024-06-30,"Passarela André Pinto, 2
Diamante
54830-936 Sousa do Norte / PE",Alexia Freitas,84398
40696,Thomas Duarte,1924,2024-08-31,"Quadra Hadassa Correia, 469
Etelvina Carneiro
24217-649 Montenegro de Porto / PR",Ana Julia Marques,36739
83227,Sra. Mariane Casa Grande,3476,2022-09-02,"Loteamento Gabrielly Farias, 60
Madre Gertrudes
65160-828 Castro do Norte / MS",Henry Barbosa,68651
15191,Ana Liz Marques,1428,2022-05-26,"Chácara Emilly Azevedo
Caiçara - Adelaide
40386-770 Costela / ES",João Marques,38421
83883,Agatha Barbosa,2000,2023-02-17,"Rua de Rocha
Vila Antena
78857088 Moraes de Minas / PB",Luiz Otávio Costela,82791
5201,Carolina das Neves,17026,2021-12-13,"Vereda de Vasconcelos
Primeiro De Maio
08648424 Fonseca / SE",Dr. Enrico Farias,52137
93298,Emanuel Carvalho,11238,2022-01-21,"Trecho de da Rocha, 9
Vila Formosa
68114785 Porto Verde / SP",Ana Luiza Rezende,33527
30203,Raquel Pinto,5248,2022-01-16,"Núcleo de Farias, 4
Vista Do Sol
02850-276 Nunes / CE",Melissa Vasconcelos,2452
12571,Natália Albuquerque,1628,2022-11-14,"Campo de Guerra, 53
São Damião
30999-736 Montenegro de Moreira / MG",Jade Santos,30690
83484,Oliver Costela,1264,2023-01-28,"Núcleo Mariane Correia
Jardim América
96865624 Ribeiro de Goiás / AM",Maria Helena Vasconcelos,77955
16423,Mariana Pereira,15077,2022-11-30,"Viaduto Lopes
Serra Verde
24823482 Novaes das Pedras / MG",Sophia Mendonça,6555
53700,Juan Silveira,8711,2023-09-02,"Trevo João Miguel Casa Grande, 98
Vila Novo São Lucas
33537481 Freitas / AC",Sr. Vitor Hugo Peixoto,57697
76225,Allana Nogueira,7685,2024-07-15,"Estação Cecilia Rocha, 40
Vila Antena
32430922 Machado do Amparo / AL",Sara Novais,85877
36831,Yasmin Rezende,19943,2022-03-15,"Sítio Laura Peixoto, 55
Santa Rita
75370-607 Rezende / PB",Luan Fogaça,82264
38404,Hadassa Moraes,13277,2023-01-13,"Vale Aparecida, 61
Vila Santo Antônio Barroquinha
00900-743 Silva de Mendonça / AM",Dr. Leandro Costela,70788
82390,Daniel Pinto,17540,2022-03-24,"Trevo Isaque Rocha, 36
Vila Independencia 3ª Seção
15451-100 Alves / SE",Antônio da Conceição,80717
74418,Vicente Monteiro,9972,2024-06-17,"Viaduto Larissa Farias, 8
Santa Lúcia
31752-818 da Cruz das Flores / ES",Dra. Antonella Pacheco,61316
10954,Kamilly Teixeira,19680,2022-11-07,"Conjunto de Aparecida, 255
Satelite
09203-428 Teixeira / SE",Isadora Porto,77192
34013,Sr. Lucas Gabriel Cassiano,19754,2023-11-25,"Parque Ravy da Cunha, 5
Serra
20141999 Machado / PB",Renan Vieira,13455
92919,Isaque Moura,8276,2023-03-15,"Ladeira Ravi Oliveira
Castelo
96347-026 Lima Paulista / MT",Júlia Ferreira,15750
40477,Manuella Rocha,14849,2023-07-23,"Residencial Rocha, 44
Vila Real 2ª Seção
61765-367 Vasconcelos / AC",Leonardo Pacheco,36214
6976,Danilo Santos,9888,2023-11-15,"Passarela Vitor Gabriel Freitas, 62
Paulo Vi
07014547 Cirino / TO",Dra. Ana Liz Vieira,80954
21749,Ísis da Mota,12119,2021-12-15,"Distrito de da Rosa, 87
Jardim Montanhês
44666723 Rios da Praia / AL",Isaac Cavalcante,37711
84104,Ísis Fogaça,4994,2023-01-01,"Passarela de Machado, 84
Capitão Eduardo
15011883 Fogaça Grande / PI",Gabriela Mendes,51035
91466,Maria Luísa Fernandes,15473,2021-12-18,"Travessa de Rezende, 44
Vila Madre Gertrudes 1ª Seção
51010-865 Porto / AM",Sofia Vieira,43840
19949,Miguel Souza,16603,2023-12-15,"Favela Pires, 674
Europa
08830628 Albuquerque de Melo / MT",Arthur Miguel Fogaça,44715
59624,Arthur Borges,5377,2024-07-07,"Estrada Pietro Nunes, 15
Aeroporto
94270-275 Santos / SE",Heitor da Conceição,96854
25247,Juan Pires,13517,2022-11-22,"Fazenda de Machado, 68
Vila Independencia 2ª Seção
78456446 Porto / GO",Theo Guerra,29301
56964,Marcelo Andrade,2563,2024-07-04,"Praça Machado, 34
Dom Bosco
82753-785 Barbosa / RR",Dra. Lavínia Barros,66797
5707,Ísis Barbosa,16449,2022-02-25,"Favela de Farias
São Jorge 2ª Seção
17676616 Pastor Paulista / PB",Maria Alice Ribeiro,28644
96084,Erick Borges,7095,2023-09-26,"Estrada Garcia
Camargos
89135-015 Oliveira do Norte / MS",Otávio Jesus,79977
80285,Clarice Nunes,10544,2024-01-21,"Favela de Duarte
Buraco Quente
35133382 Moreira de Goiás / GO",Raul Gomes,6801
98435,Luiz Henrique Mendes,13931,2024-06-08,"Conjunto Maria Sophia Ribeiro, 407
Boa Vista
58415142 Cardoso / RJ",Mariana Freitas,98649
12098,Maria Fernanda Cavalcante,11743,2022-11-17,"Campo Bárbara da Mota
Vila Nova Cachoeirinha 3ª Seção
22360-862 Andrade de Goiás / AL",Maria Clara Siqueira,32795
35497,Luiz Gustavo Cavalcante,3652,2023-04-08,"Alameda Lopes, 898
Vila Rica
15987190 Farias das Flores / BA",Vitor Vieira,45269
58681,Arthur Gabriel Macedo,5248,2024-03-21,"Passarela Porto, 2
Maravilha
39917-352 Pires / AP",Catarina Almeida,53117
61779,Marcela Sá,17493,2023-07-28,"Alameda de Casa Grande, 60
Novo Tupi
46275-210 Gomes / MA",Julia da Cunha,83281
12935,Alice Camargo,14590,2023-09-22,"Avenida de Jesus, 3
Vila Rica
44126232 Costa / SE",Matheus Montenegro,40463
83566,Luna Casa Grande,19130,2022-04-15,"Praia Casa Grande, 41
Califórnia
75175475 Ramos de Minas / GO",João Borges,63985
46140,Juan Ferreira,18074,2022-06-12,"Distrito Júlia Duarte, 250
Penha
33697-941 Vargas / SC",Bianca Barros,5288
10704,Enrico da Cruz,4211,2022-03-30,"Estrada Anthony Gabriel Farias, 14
Comiteco
75101-778 Ferreira / AL",Gael Henrique Azevedo,89009
56,Vicente Vasconcelos,15065,2024-03-04,"Avenida Amanda Almeida, 24
Vila São Gabriel Jacui
14412509 Araújo da Serra / MT",Renan Campos,35495
79051,Pedro Lucas Albuquerque,12241,2023-01-01,"Trecho de Azevedo, 26
Vila Cemig
88775469 Camargo / AP",Gabrielly Cunha,57242
9119,Sabrina Nunes,4865,2022-07-05,"Loteamento Luigi Marques, 7
Indaiá
13482222 Rios / ES",Nathan Siqueira,29845
19430,Luiz Felipe Marques,1783,2023-09-11,"Pátio Sabrina Azevedo, 43
Cachoeirinha
17821-597 Santos do Galho / SC",Daniel da Cunha,15
56508,Ayla Pereira,9500,2024-07-31,"Lago Leonardo da Rocha, 74
Andiroba
78527043 Cavalcanti de Jesus / DF",Isaac Vargas,74248
23009,Maria Júlia da Mata,10512,2023-05-16,"Chácara de Alves, 19
Grotinha
30592-271 Carvalho do Galho / PR",Srta. Laís Castro,63702
2927,Maria Luísa Nascimento,9599,2024-01-21,"Aeroporto Luiz Felipe Moreira, 912
Dom Silverio
88616133 Sá / MG",Sra. Aylla Sales,10289
42228,Heloísa Viana,9319,2022-10-12,"Jardim Jade Borges, 45
Ernesto Nascimento
49220-432 Câmara da Serra / PE",João Pedro Teixeira,45673
33190,Sra. Maria Luiza Camargo,4395,2022-11-06,"Ladeira Barbosa, 60
Vila Califórnia
66089-078 Albuquerque do Oeste / MT",Maria Isis Câmara,86036
62538,Cauê Caldeira,14179,2024-07-17,"Lagoa Letícia Nogueira, 65
Pantanal
30657-826 Teixeira Grande / RN",Theo Cunha,51427
44608,Nicolas Abreu,15523,2024-11-05,"Vereda de da Mota, 55
Paulo Vi
82513-227 da Luz de Minas / AL",Ana Lívia Pires,36936
93964,Dr. José Miguel Marques,3334,2024-07-09,"Núcleo de Rocha, 32
Maria Goretti
16613284 Correia de da Conceição / AP",Sophia Cassiano,41824
57668,Samuel Ramos,8110,2023-12-28,"Chácara Ravi Lucca Casa Grande, 95
Leonina
67030886 Pimenta do Campo / PA",André Silva,11458
46955,Sra. Ana Beatriz Lima,17949,2024-02-26,"Colônia de Silveira, 677
Conjunto Celso Machado
93350-893 Dias do Norte / PE",Dr. João Lucas da Costa,58801
5545,Lorenzo Carvalho,15168,2024-03-18,"Alameda Thomas Dias, 95
Vila Independencia 2ª Seção
36946410 Cavalcante de Farias / DF",Dom Pastor,11454
59195,Sra. Isabella da Mota,14903,2022-05-12,"Loteamento Nascimento, 64
Cachoeirinha
20641234 Martins / AL",João Moreira,92314
1614,Valentina Lima,15865,2022-05-31,"Praia de da Mota, 78
Vila Madre Gertrudes 4ª Seção
28221-258 Jesus do Norte / MT",Caio Barbosa,24074
962,Ayla da Mata,6720,2022-11-13,"Feira Maitê Moreira, 191
Novo Glória
12443150 das Neves / PA",Sara das Neves,92837
44876,Juan Siqueira,4712,2023-07-05,"Recanto de Aparecida, 103
Vila Nova Cachoeirinha 1ª Seção
71761-838 Sales / MG",Rhavi Casa Grande,93505
82789,Lucas Moreira,9214,2022-12-11,"Favela Emanuel Sampaio, 72
Oeste
64765-691 Pires Alegre / ES",Brenda Ramos,32856
49081,Luiz Gustavo da Rocha,7328,2023-07-25,"Lagoa de Aragão, 24
Vila Copasa
65082-696 Porto de Goiás / PB",Maria Sophia Santos,10267
63451,Francisco Novaes,13933,2023-04-14,"Viaduto da Conceição
Cachoeirinha
13057-478 das Neves do Norte / PA",Erick Rodrigues,70673
97323,Sra. Eduarda Freitas,17950,2022-10-31,"Residencial Gonçalves, 39
Vila Puc
64265353 Castro / PR",Camila Jesus,9608
70097,José Miguel Costa,18279,2024-09-05,"Estrada Vieira, 355
Trevo
60583-862 Viana do Galho / AP",Cauã da Paz,50448
29791,Dra. Clarice Novaes,11337,2023-02-27,"Fazenda Jesus, 37
Paulo Vi
50723-297 Ribeiro / AL",Dra. Juliana Novais,26403
17068,Rodrigo Pacheco,1112,2024-02-11,"Alameda Novais, 13
Vila Trinta E Um De Março
25219-512 Sales / SC",Fernanda Siqueira,6584
16281,Asafe Novais,17174,2023-06-01,"Setor de Farias, 5
Pilar
01168-160 Porto / PE",Ravi Castro,45114
19310,Matteo da Conceição,17208,2023-03-19,"Jardim Vitória Brito, 74
Glória
76806187 Lopes / SE",Luna Moura,60791
50630,Manuela Castro,5727,2023-06-23,"Área de Nascimento, 6
Boa União 2ª Seção
34436417 da Luz / MS",Kaique Martins,51143
3231,Bernardo Nascimento,7665,2024-07-05,"Rua Pimenta
Guaratã
93808235 Pimenta de Garcia / DF",Henry Pimenta,92670
89608,Matheus Novais,11960,2024-04-11,"Vereda Caldeira, 541
Ouro Preto
17446-377 Pires Verde / RR",Srta. Ágatha Silveira,90655
14463,Antony da Cruz,1068,2022-07-25,"Distrito de Cirino
Ouro Minas
52586932 Nascimento das Flores / SE",Lorena Cavalcanti,70047
56289,Maysa Jesus,15264,2022-11-14,"Via Freitas, 896
Cachoeirinha
33666525 Viana das Pedras / AM",Dr. Anthony Moreira,44114
24146,Ravi Lucca Campos,5486,2022-05-29,"Colônia de Campos, 93
Caiçara - Adelaide
69869724 Moraes de Goiás / PB",Marcos Vinicius Porto,60897
89528,Carolina Moreira,19501,2023-09-13,"Favela Freitas
Corumbiara
84850024 Farias da Mata / SC",Antonella Pacheco,93927
75848,Milena Guerra,2352,2024-01-20,"Vila de da Conceição, 3
Vila Calafate
31377-055 da Cruz das Flores / AL",Ana Luiza Santos,38415
81477,Sra. Cecília Martins,5906,2022-05-16,"Praça de Siqueira, 63
Novo Glória
30315434 da Rocha da Serra / MG",Helena Correia,51246
82485,Oliver da Cruz,6994,2022-03-25,"Sítio Barbosa
Paraíso
49793-562 Albuquerque / PR",Fernanda da Conceição,47048
29382,Ian Nunes,8015,2022-10-13,"Sítio Allana Moraes, 97
Marieta 1ª Seção
77478997 Lopes dos Dourados / DF",Eduarda Montenegro,48579
89456,Renan da Rocha,8819,2022-05-26,"Morro de Macedo, 80
Vila Paraíso
17647-089 Mendonça de Ribeiro / CE",Manuela Siqueira,54551
62984,Manuela Sales,19261,2024-09-19,"Trevo Cauê Rocha, 51
Vila Havaí
32321424 Macedo do Galho / SE",Sra. Letícia da Paz,78353
16203,Alexia da Paz,6970,2023-08-22,"Vila Mendonça, 400
Tupi A
11508277 Teixeira / MG",Francisco Gomes,64189
49199,André Aragão,1598,2022-07-11,"Morro de da Rocha
Paraíso
86954821 da Rosa de da Costa / SP",Luara Aragão,52927
53611,Srta. Sarah Lopes,6745,2024-07-11,"Alameda Júlia Teixeira
Céu Azul
53988282 Vasconcelos / CE",Laís Rocha,15113
99105,Gustavo Sampaio,1591,2023-07-19,"Feira Ramos, 37
Cônego Pinheiro 2ª Seção
46588191 Sales do Amparo / MT",Maria Luiza Brito,68366
29476,Ana Sophia Fogaça,18718,2024-10-10,"Ladeira de das Neves
Cidade Jardim
15112293 Ramos Paulista / GO",Ana Carolina Novaes,16351
4428,Dra. Caroline Nogueira,12055,2021-12-18,"Fazenda Costa, 1
Vila Maria
73666356 Rezende de Pimenta / MA",Anthony Gabriel Moraes,92866
60857,Théo da Costa,17069,2024-05-13,"Avenida de da Conceição, 55
Minas Brasil
54894-957 Oliveira / PA",Maria Laura Jesus,75092
1582,Maria Isis Moraes,19260,2023-09-19,"Jardim Aparecida, 90
Silveira
48218627 Silveira do Norte / PB",Mateus Guerra,82245
49454,Leandro Rios,3822,2022-05-21,"Parque de Andrade
Liberdade
13121717 Siqueira da Serra / MA",Samuel Pinto,2717
17877,Noah Garcia,5122,2024-03-29,"Estação Mendes, 69
Itatiaia
97384-693 Moreira das Flores / BA",Bryan da Costa,36008
56009,Mathias Lima,8558,2023-11-10,"Vila Lucca Novais
Vila Jardim Montanhes
23358952 Macedo de Silveira / MS",Sra. Cecilia Novais,10061
90871,Vinícius da Rosa,7475,2024-08-07,"Alameda Aparecida, 10
Rio Branco
94963050 Porto de Porto / PI",Benício Abreu,58682
